iter	Logloss
0	0.6889348338
1	0.6853707228
2	0.6822314948
3	0.6793299354
4	0.6765326256
5	0.6740748379
6	0.6718742101
7	0.6696925546
8	0.6678359936
9	0.6662170933
10	0.6647076094
11	0.6633272357
12	0.6619674086
13	0.6607376768
14	0.6595466707
15	0.6586227723
16	0.657671162
17	0.6567795934
18	0.6559358285
19	0.6552516667
20	0.6544971118
21	0.6538739783
22	0.6532848766
23	0.6527174322
24	0.6521553397
25	0.6516593058
26	0.6512262718
27	0.6507858992
28	0.6504306208
29	0.6501039671
30	0.6497143465
31	0.6493525368
32	0.6489875003
33	0.6486420186
34	0.648328892
35	0.6479961402
36	0.6476976878
37	0.6473722214
38	0.6470965652
39	0.6467853806
40	0.646486217
41	0.6462082504
42	0.6459735252
43	0.6457471378
44	0.6455310126
45	0.6453088565
46	0.6450592838
47	0.6448145569
48	0.6446359833
49	0.6444131134
50	0.6441397569
51	0.6438328881
52	0.6436905804
53	0.6435064836
54	0.6432981956
55	0.6431798225
56	0.6429868286
57	0.6428318911
58	0.6426913164
59	0.642484966
60	0.6422611191
61	0.6420247172
62	0.641893551
63	0.6417232911
64	0.6415423086
65	0.6414229498
66	0.6412696081
67	0.6411002034
68	0.6409600814
69	0.6407675498
70	0.6405477204
71	0.6403800146
72	0.6402095456
73	0.640022516
74	0.6398587854
75	0.6397098708
76	0.6395532024
77	0.6393420848
78	0.6391490109
79	0.6389594734
80	0.6388313278
81	0.6386841264
82	0.63849801
83	0.6383079042
84	0.6381392098
85	0.6380457343
86	0.6378914166
87	0.6377519704
88	0.6376023778
89	0.6374399178
90	0.6372442036
91	0.6371186832
92	0.637008561
93	0.6368809023
94	0.6366777254
95	0.6365210745
96	0.6364129366
97	0.6362199315
98	0.6360293201
99	0.6358909998
100	0.6356811038
101	0.6355785422
102	0.6354261296
103	0.6352732599
104	0.6351423512
105	0.6349894703
106	0.6348583832
107	0.6347172195
108	0.6346043331
109	0.634495073
110	0.6343898175
111	0.6342638095
112	0.6341364555
113	0.6339730959
114	0.6338925769
115	0.6337253059
116	0.6336013394
117	0.6334643829
118	0.6333426027
119	0.633223026
120	0.633094147
121	0.632988033
122	0.6328416189
123	0.6327058525
124	0.6326091563
125	0.6324441472
126	0.6322893393
127	0.632133216
128	0.6319896256
129	0.6318315448
130	0.6317128944
131	0.6315863332
132	0.631438298
133	0.6312808928
134	0.6311585853
135	0.6311534741
136	0.6310291623
137	0.6308843254
138	0.6307271356
139	0.6306016016
140	0.6304607297
141	0.6303041122
142	0.630166155
143	0.6300541226
144	0.6299428702
145	0.6297897525
146	0.6296758798
147	0.6295170122
148	0.6293417335
149	0.6291988193
150	0.6290614804
151	0.628893321
152	0.6288006704
153	0.6287131046
154	0.6286367653
155	0.6285290039
156	0.6284302103
157	0.6282876669
158	0.6281099863
159	0.6279889357
160	0.6278833178
161	0.6277715382
162	0.6276559255
163	0.6275494257
164	0.627449993
165	0.6272725114
166	0.6271464281
167	0.6269983893
168	0.626875799
169	0.6267804485
170	0.6266927664
171	0.6265960324
172	0.6264656654
173	0.626344222
174	0.626173732
175	0.6260722478
176	0.6259590908
177	0.6258447241
178	0.6257501454
179	0.6255782191
180	0.6254032511
181	0.6252489596
182	0.6250577741
183	0.6249140276
184	0.6248156098
185	0.6246282716
186	0.6244681112
187	0.6243693693
188	0.6242457065
189	0.6241147638
190	0.6239857928
191	0.6238131171
192	0.6236449671
193	0.6235013566
194	0.6233000442
195	0.6231373484
196	0.6229506965
197	0.6228161515
198	0.6226558565
199	0.6225282937
200	0.6224123065
201	0.6222578573
202	0.6220721819
203	0.6218997652
204	0.6217495682
205	0.621595784
206	0.6214660315
207	0.6213327994
