iter	Passed	Remaining
0	6	12602
1	10	10206
2	13	9194
3	18	9412
4	23	9185
5	27	9014
6	30	8814
7	35	8901
8	40	8869
9	44	8770
10	47	8645
11	52	8725
12	56	8673
13	61	8662
14	65	8709
15	69	8676
16	73	8622
17	77	8555
18	81	8519
19	85	8506
20	89	8479
21	93	8405
22	96	8332
23	101	8323
24	104	8274
25	108	8242
26	112	8248
27	116	8195
28	119	8127
29	123	8123
30	127	8086
31	130	8048
32	135	8103
33	141	8157
34	145	8182
35	149	8176
36	153	8143
37	157	8120
38	161	8096
39	164	8061
40	168	8066
41	173	8100
42	178	8104
43	181	8089
44	185	8072
45	190	8071
46	193	8041
47	197	8026
48	202	8072
49	206	8069
50	211	8081
51	215	8058
52	219	8053
53	222	8027
54	226	7997
55	230	7994
56	234	7978
57	238	7994
58	242	7992
59	246	7978
60	250	7959
61	254	7960
62	257	7929
63	262	7927
64	265	7910
65	269	7901
66	273	7893
67	277	7887
68	281	7881
69	285	7874
70	289	7871
71	294	7878
72	297	7860
73	301	7836
74	304	7805
75	306	7763
76	309	7728
77	312	7699
78	316	7686
79	320	7683
80	323	7665
81	327	7661
82	331	7666
83	336	7677
84	340	7667
85	343	7655
86	347	7643
87	351	7637
88	354	7620
89	358	7610
90	362	7614
91	366	7608
92	369	7586
93	374	7584
94	379	7601
95	382	7591
96	386	7586
97	390	7576
98	393	7560
99	398	7563
100	402	7559
101	406	7560
102	412	7588
103	416	7593
104	419	7579
105	423	7561
106	428	7572
107	432	7581
108	437	7589
109	443	7614
110	446	7604
111	450	7591
112	453	7576
113	457	7575
114	461	7567
115	465	7559
116	469	7562
117	474	7562
118	478	7560
119	482	7560
120	486	7552
121	489	7542
122	493	7537
123	498	7537
124	502	7544
125	507	7542
126	510	7530
127	514	7520
128	517	7509
129	521	7497
130	525	7490
131	528	7481
132	532	7473
133	536	7470
134	540	7461
135	543	7442
136	546	7437
137	550	7428
138	554	7422
139	558	7422
140	563	7428
141	567	7429
142	572	7428
143	575	7421
144	578	7405
145	582	7394
146	586	7392
147	589	7381
148	593	7378
149	598	7378
150	602	7372
151	605	7361
152	609	7356
153	612	7337
154	616	7336
155	620	7332
156	624	7326
157	628	7327
158	632	7318
159	636	7316
160	640	7314
161	644	7306
162	647	7301
163	651	7292
164	655	7288
165	659	7285
166	663	7283
167	667	7283
168	671	7275
169	675	7266
170	679	7265
171	682	7258
172	686	7252
173	690	7244
174	694	7240
175	698	7240
176	702	7234
177	706	7228
178	710	7224
179	713	7215
180	716	7205
181	720	7197
182	725	7198
183	729	7198
184	733	7198
185	737	7194
186	741	7190
187	745	7188
188	749	7179
189	755	7193
190	760	7201
191	765	7210
192	769	7204
193	773	7204
194	778	7206
195	781	7196
196	785	7188
197	789	7182
198	793	7179
199	797	7178
200	801	7177
201	806	7174
202	811	7182
203	815	7176
204	818	7169
205	824	7176
206	828	7172
207	832	7176
